!!!SBtab DocumentName='pathway' SBtabVersion='1.0' Date='2025-9-24'
!!SBtab TableID='Configuration' TableType='Config' TableName='Configuration' SBtabVersion='1.0'
!Option	!Value	!Comment
p_h	7.5 dimensionless	
concentration	ATP	5	5
concentration	ADP	0.5	0.5
concentration	Nicotinamide_adenine_dinucleotide	1	1
concentration	Phosphate	10	10
concentration	Nicotinamide_adenine_dinucleotide_reduced	0.1	0.1
concentration	Coenzyme_A	1	1
concentration	CO2	0.01	0.01
concentration	Acetyl_CoA	0.001	10
concentration	Pyruvate	0.001	10
concentration	Formate	0.001	10
concentration	D_Glucose	0.001	10
concentration	Phosphoenolpyruvate	0.001	10
concentration	Glyceraldehyde_3_phosphate	0.001	10
concentration	Acetaldehyde	0.001	10
concentration	Dihydroxyacetone_phosphate	0.001	10
concentration	3_Phospho_D_glycerate	0.001	10
concentration	D_Glucose_6_phosphate	0.001	10
concentration	Reduced_ferredoxin	0.1	0.1
concentration	Oxidized_ferredoxin	0.1	0.1
concentration	H2	0.001	10
concentration	D_Glycerate_2_phosphate	0.001	10
concentration	Ethanol	0.001	10
concentration	2_hydroxypropanoate	0.001	10
concentration	Beta_D_Fructose_16_bisphosphate	0.001	10
concentration	Beta_D_Fructose_6_phosphate	0.001	10
concentration	13_Biphosphoglycerate	0.001	10

!!SBtab TableID='Flux' TableType='Quantity' TableName='Flux' SBtabVersion='1.0' Unit='dimensionless'
!QuantityType	!Reaction	!Value
rate of reaction	HK	3
rate of reaction	PGI	3
rate of reaction	PFK	3
rate of reaction	FBA	3
rate of reaction	TPI	3
rate of reaction	GAPD	6
rate of reaction	PGK	6
rate of reaction	PGM	6
rate of reaction	ENO	6
rate of reaction	PYK	6
rate of reaction	PDC	2
rate of reaction	ADH	2
rate of reaction	LDH	2
rate of reaction	PFL	2
rate of reaction	PFOR	2
rate of reaction	HydABC	2

